epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3029.7,1.0849,1.12549,0.01645,0.75893,0.62046,0.69346,0.52852,0.87022,0.90535,0.01836,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3120.48,1.09277,1.11845,0.01677,0.73911,0.64176,0.68955,0.53388,0.86558,0.93816,0.01853,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3211.51,1.08282,1.10352,0.01652,0.73451,0.66124,0.69228,0.53119,0.87693,0.92818,0.01863,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3302.47,1.07731,1.09789,0.01644,0.75207,0.65966,0.71064,0.55203,0.82913,0.86112,0.01723,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3393.7,1.06382,1.06622,0.01621,0.76859,0.63057,0.69407,0.5381,0.86022,0.89243,0.01804,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3484.76,1.05934,1.07691,0.01624,0.73205,0.65335,0.70382,0.54273,0.81555,0.90236,0.0173,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3575.94,1.05639,1.05492,0.01572,0.72689,0.66564,0.71266,0.5546,0.82553,0.86375,0.01751,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3667.26,1.05278,1.01802,0.01593,0.75147,0.65541,0.70597,0.54273,0.81784,0.84742,0.01763,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3758.14,1.05511,1.03065,0.01589,0.73276,0.66735,0.71244,0.55799,0.81684,0.87112,0.01726,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3849.27,1.05215,1.02719,0.01575,0.72898,0.68963,0.72662,0.57038,0.79497,0.80606,0.01689,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3940.98,1.0303,1.0219,0.01561,0.74279,0.67489,0.71381,0.56234,0.79731,0.85427,0.01674,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4032.1,1.03017,1.00953,0.01556,0.75563,0.66369,0.71648,0.55805,0.80514,0.87718,0.01695,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
